"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A11",0,0.506081129385875,0.868,0.586,0,"Epithelial cells","S100A11"
"IFI27",0,0.503142723930671,0.872,0.553,0,"Epithelial cells","IFI27"
"S100A6",0,0.501492523479376,0.993,0.885,0,"Epithelial cells","S100A6"
"MGST2",0,0.500808594334126,0.552,0.209,0,"Epithelial cells","MGST2"
"KLF2",0,0.494146497427947,0.522,0.216,0,"Epithelial cells","KLF2"
"VDAC1",0,0.471157737718483,0.555,0.242,0,"Epithelial cells","VDAC1"
"VAMP8",0,0.470037689739769,0.631,0.301,0,"Epithelial cells","VAMP8"
"ANXA2",0,0.468995667002146,0.731,0.488,0,"Epithelial cells","ANXA2"
"PRR13",0,0.464703486843606,0.624,0.326,0,"Epithelial cells","PRR13"
"SLC25A5",0,0.463181939515288,0.677,0.435,0,"Epithelial cells","SLC25A5"
"COX8A",0,0.462709236963826,0.753,0.464,0,"Epithelial cells","COX8A"
"P4HB",0,0.462203570613494,0.698,0.405,0,"Epithelial cells","P4HB"
"MARCKSL1",0,0.454153301937449,0.563,0.244,0,"Epithelial cells","MARCKSL1"
"C12orf75",0,0.453238837883913,0.5,0.17,0,"Epithelial cells","C12orf75"
"CYB5A",0,0.449479269868904,0.586,0.254,0,"Epithelial cells","CYB5A"
"COX5B",0,0.444424830288151,0.792,0.524,0,"Epithelial cells","COX5B"
"KLF4",0,0.43942872191986,0.566,0.232,0,"Epithelial cells","KLF4"
"LGALS3BP",0,0.436556985057103,0.602,0.264,0,"Epithelial cells","LGALS3BP"
"CSTB",0,0.430208689325135,0.693,0.401,0,"Epithelial cells","CSTB"
"BLOC1S1",0,0.42451067352788,0.623,0.307,0,"Epithelial cells","BLOC1S1"
"ETS2",0,0.423933050048976,0.525,0.214,0,"Epithelial cells","ETS2"
"ATP5G3",0,0.419812951504224,0.631,0.398,0,"Epithelial cells","ATP5G3"
"CST3",0,0.419572780009294,0.896,0.565,0,"Epithelial cells","CST3"
"ACTG1",0,0.417509986759486,0.955,0.78,0,"Epithelial cells","ACTG1"
"TPM1",0,0.415925860968048,0.541,0.217,0,"Epithelial cells","TPM1"
