"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TSPAN8.12",2.6846711752563e-93,-1.13416577694072,0.141,0.658,5.57820976794753e-89,"16","TSPAN8"
"CLDN18.13",1.47265301968878e-91,-1.11635030478542,0.122,0.66,3.05987844430936e-87,"16","CLDN18"
"CD44.2",4.13237345692702e-91,0.740559593665207,0.593,0.226,8.58624556880295e-87,"16","CD44"
"TMEM176B.3",3.5993357954112e-86,0.739025586336482,0.541,0.195,7.47869991570538e-82,"16","TMEM176B"
"CTSE.13",4.88364838481398e-84,-1.03367878597887,0.092,0.602,1.01472446139665e-79,"16","CTSE"
"ELF3.8",3.63219540833938e-83,-0.94715835150326,0.139,0.652,7.54697561944757e-79,"16","ELF3"
"ATP6V1F",3.80377218564218e-78,0.688250125884755,0.645,0.325,7.90347784732732e-74,"16","ATP6V1F"
"NQO1.10",1.50354015377454e-76,-0.917590874916283,0.094,0.588,3.12405573151274e-72,"16","NQO1"
"MT1E.9",3.82249611118931e-76,-1.02320962433925,0.047,0.548,7.94238241982915e-72,"16","MT1E"
"TM4SF1.10",1.70370606138281e-75,-0.960251815990416,0.114,0.594,3.5399604543412e-71,"16","TM4SF1"
"NAP1L1.1",3.22151408222181e-75,0.650658455437966,0.608,0.266,6.69366196004048e-71,"16","NAP1L1"
"CA2.13",9.2369176693521e-75,-1.00472139093722,0.102,0.579,1.91924675333798e-70,"16","CA2"
"GRN.1",9.44523935926736e-75,0.720552210690839,0.628,0.324,1.96253183406857e-70,"16","GRN"
"SFN.12",1.55792912069743e-73,-0.961821741516165,0.127,0.598,3.23706512698513e-69,"16","SFN"
"PLAUR.1",2.84333126037997e-73,0.730021828009268,0.685,0.385,5.90787369281749e-69,"16","PLAUR"
"GPX2.13",3.04803478176665e-73,-0.95092789293137,0.087,0.569,6.33320666955475e-69,"16","GPX2"
"MUC1.11",7.96334175379042e-73,-0.979836951839286,0.149,0.606,1.65462314960257e-68,"16","MUC1"
"TFF1.15",1.3717058417874e-72,-0.929602159278538,0.615,0.846,2.85013039806587e-68,"16","TFF1"
"VSIG2.10",2.03525789837513e-72,-0.892931186012291,0.074,0.561,4.22885886124385e-68,"16","VSIG2"
"MUC5AC.16",9.23683193401457e-70,-1.01355150638308,0.313,0.693,1.91922893924955e-65,"16","MUC5AC"
"TFF2.14",1.69505954826994e-69,-0.997693575322086,0.337,0.702,3.52199472939528e-65,"16","TFF2"
"ARPC1B.4",2.22123922790076e-69,0.662675171691578,0.638,0.338,4.61529086773221e-65,"16","ARPC1B"
"NFKBIA.5",1.51838158590139e-66,0.559371292489642,0.839,0.621,3.1548932591859e-62,"16","NFKBIA"
"RNASET2.1",1.55395079752712e-66,0.661235452755337,0.588,0.291,3.22879896710185e-62,"16","RNASET2"
"PERP.7",3.25202253376898e-66,-0.820119754481361,0.057,0.51,6.75705242066518e-62,"16","PERP"
"S100A14.12",1.7432486371613e-64,-0.934181497373646,0.069,0.511,3.62212201829376e-60,"16","S100A14"
"LGALS4.12",4.47758898651332e-62,-0.907035259949566,0.146,0.558,9.30353439617738e-58,"16","LGALS4"
